Type,Name,Published,Categories,Visibility in catalog,Short description,In stock?,Allow customer reviews?,Sale price,Regular price,Images
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI A1 11 - 17</span>,1,AUDI,visible,AUDI A1 11 - 17,1,1,765.85,901,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI 8X (MEXICO) 11 - 17</span>,1,AUDI,visible,AUDI 8X (MEXICO) 11 - 17,1,1,765.85,901,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI A3 15 - 19</span>,1,AUDI,visible,AUDI A3 15 - 19,1,1,857.65,1009,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI 8V 15 - 19</span>,1,AUDI,visible,AUDI 8V 15 - 19,1,1,857.65,1009,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI Excl Quattro 15 - 19</span>,1,AUDI,visible,AUDI Excl Quattro 15 - 19,1,1,857.65,1009,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI A3 06 - 13</span>,1,AUDI,visible,AUDI A3 06 - 13,1,1,829.6,976,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI 8P 06 - 13</span>,1,AUDI,visible,AUDI 8P 06 - 13,1,1,829.6,976,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI 3.2 Quattro 06 - 13</span>,1,AUDI,visible,AUDI 3.2 Quattro 06 - 13,1,1,829.6,976,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI A3 06 - 13</span>,1,AUDI,visible,AUDI A3 06 - 13,1,1,829.6,976,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI 8P 06 - 13</span>,1,AUDI,visible,AUDI 8P 06 - 13,1,1,829.6,976,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI Excl Quattro 06 - 13</span>,1,AUDI,visible,AUDI Excl Quattro 06 - 13,1,1,829.6,976,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI S4 00 - 02</span>,1,AUDI,visible,AUDI S4 00 - 02,1,1,857.65,1009,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI A4 Quattro 00 - 02</span>,1,AUDI,visible,AUDI A4 Quattro 00 - 02,1,1,857.65,1009,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI B5 00 - 02</span>,1,AUDI,visible,AUDI B5 00 - 02,1,1,857.65,1009,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI (96 - 01) 00 - 02</span>,1,AUDI,visible,AUDI (96 - 01) 00 - 02,1,1,857.65,1009,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI S4 09 - 16</span>,1,AUDI,visible,AUDI S4 09 - 16,1,1,912.9,1074,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI A4 09 - 16</span>,1,AUDI,visible,AUDI A4 09 - 16,1,1,912.9,1074,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI 8K (B8) 09 - 16</span>,1,AUDI,visible,AUDI 8K (B8) 09 - 16,1,1,912.9,1074,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI Quattro 09 - 16</span>,1,AUDI,visible,AUDI Quattro 09 - 16,1,1,912.9,1074,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI 2WD 09 - 16</span>,1,AUDI,visible,AUDI 2WD 09 - 16,1,1,912.9,1074,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI Excl magnetic ride 09 - 16</span>,1,AUDI,visible,AUDI Excl magnetic ride 09 - 16,1,1,912.9,1074,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI A4 Quattro 96 - 01</span>,1,AUDI,visible,AUDI A4 Quattro 96 - 01,1,1,857.65,1009,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI B5 96 - 01</span>,1,AUDI,visible,AUDI B5 96 - 01,1,1,857.65,1009,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI A4 99 - 01</span>,1,AUDI,visible,AUDI A4 99 - 01,1,1,829.6,976,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI 8D (B5) 99 - 01</span>,1,AUDI,visible,AUDI 8D (B5) 99 - 01,1,1,829.6,976,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI Excl Quattro 99 - 01</span>,1,AUDI,visible,AUDI Excl Quattro 99 - 01,1,1,829.6,976,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI from chassis no. 8D*X 200000 99 - 01</span>,1,AUDI,visible,AUDI from chassis no. 8D*X 200000 99 - 01,1,1,829.6,976,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI A4 96 - 99</span>,1,AUDI,visible,AUDI A4 96 - 99,1,1,829.6,976,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI (B5) 96 - 99</span>,1,AUDI,visible,AUDI (B5) 96 - 99,1,1,829.6,976,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI Excl Quattro 96 - 99</span>,1,AUDI,visible,AUDI Excl Quattro 96 - 99,1,1,829.6,976,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI up to chassis no. 8D*X 199999 96 - 99</span>,1,AUDI,visible,AUDI up to chassis no. 8D*X 199999 96 - 99,1,1,829.6,976,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI Years 96 - 99 96 - 99</span>,1,AUDI,visible,AUDI Years 96 - 99 96 - 99,1,1,829.6,976,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI A4 02 - 08</span>,1,AUDI,visible,AUDI A4 02 - 08,1,1,857.65,1009,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI 8E (B6 02 - 08</span>,1,AUDI,visible,AUDI 8E (B6 02 - 08,1,1,857.65,1009,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI B7) 02 - 08</span>,1,AUDI,visible,AUDI B7) 02 - 08,1,1,857.65,1009,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI Excl Quattro 02 - 08</span>,1,AUDI,visible,AUDI Excl Quattro 02 - 08,1,1,857.65,1009,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI S4 02 - 08</span>,1,AUDI,visible,AUDI S4 02 - 08,1,1,895.05,1053,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI A4 02 - 08</span>,1,AUDI,visible,AUDI A4 02 - 08,1,1,895.05,1053,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI 8E (B6 02 - 08</span>,1,AUDI,visible,AUDI 8E (B6 02 - 08,1,1,895.05,1053,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI B7) 02 - 08</span>,1,AUDI,visible,AUDI B7) 02 - 08,1,1,895.05,1053,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI Quattro 02 - 08</span>,1,AUDI,visible,AUDI Quattro 02 - 08,1,1,895.05,1053,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI A4 09 - 16</span>,1,AUDI,visible,AUDI A4 09 - 16,1,1,912.9,1074,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI Avant 09 - 16</span>,1,AUDI,visible,AUDI Avant 09 - 16,1,1,912.9,1074,/wp-content/uploads/2020/03/RACE-SPRINGS.png
simple,Height Adjustable Coil Overs <span style='display: none;'>AUDI 8K (B8) 09 - 16</span>,1,AUDI,visible,AUDI 8K (B8) 09 - 16,1,1,912.9,1074,/wp-content/uploads/2020/03/RACE-SPRINGS.png
